index_right,Longitude,Latitude
90,-73.90813,40.80769167
91,-73.90817333,40.80759667
92,-73.90821333,40.8075
93,-73.908245,40.80741333
94,-73.90827,40.80732833
95,-73.90829833,40.80723833
96,-73.90836333,40.80704833
97,-73.90839667,40.806955
98,-73.90842833,40.80687167
99,-73.908455,40.80679667
100,-73.90848,40.80674
176,-73.90606,40.80412
177,-73.90597,40.80407
178,-73.90573333,40.80394333
179,-73.90568167,40.803915
180,-73.90563,40.80389167
181,-73.90562667,40.803875
182,-73.905605,40.80382333
183,-73.90562833,40.803785
184,-73.90566833,40.80373833
185,-73.90572167,40.80368667
186,-73.90577667,40.80363333
187,-73.90583167,40.80357833
188,-73.90588333,40.80352833
189,-73.90592667,40.80348333
190,-73.90596667,40.80344333
191,-73.906,40.80340833
192,-73.90602333,40.80338333
193,-73.90607,40.80331667
194,-73.90609333,40.80328
195,-73.90617,40.80319667
196,-73.90625667,40.80311667
197,-73.90634667,40.803035
198,-73.90642833,40.80296167
199,-73.90650333,40.802895
200,-73.90665167,40.80274667
201,-73.906725,40.80267333
202,-73.9068,40.8026
203,-73.90687333,40.80252833
204,-73.90694833,40.80245333
205,-73.90702,40.80237833
206,-73.90709167,40.80230833
207,-73.90714667,40.80225167
208,-73.90718,40.802215
209,-73.907205,40.80219167
210,-73.90729,40.80219167
211,-73.90734333,40.80221667
277,-73.91281,40.80490833
278,-73.91290833,40.80495333
332,-73.917545,40.80437167
333,-73.917665,40.80442
334,-73.91777333,40.804465
335,-73.91787167,40.80450667
336,-73.91795833,40.80454167
337,-73.91803333,40.80456833
338,-73.91809167,40.80459
339,-73.91813,40.804605
340,-73.91817167,40.80464667
341,-73.91821667,40.80466667
342,-73.91826333,40.80469
343,-73.91831333,40.80471333
344,-73.91836667,40.80473667
345,-73.91842667,40.80475667
346,-73.91848833,40.80477667
347,-73.91855,40.80479333
348,-73.91861167,40.80480667
349,-73.91873167,40.80480667
350,-73.91877,40.80479667
351,-73.91879833,40.804775
352,-73.91882167,40.80475
527,-73.931135,40.811265
528,-73.93114,40.81136333
529,-73.93114,40.81145667
530,-73.93112667,40.81154833
531,-73.9311,40.81162333
532,-73.93104833,40.81169333
533,-73.93097167,40.81176167
534,-73.930875,40.811825
535,-73.93076667,40.81188833
536,-73.93065,40.811945
537,-73.93053333,40.81199667
538,-73.93042,40.812045
539,-73.93031,40.81209333
655,-73.92891167,40.819815
656,-73.92888167,40.8199
657,-73.92884333,40.81998333
658,-73.92880667,40.820065
931,-73.92121167,40.81134167
932,-73.92117667,40.81141333
933,-73.92109333,40.81153
934,-73.92105,40.81157
935,-73.92101667,40.81159667
936,-73.920995,40.81161167
937,-73.92089833,40.81168833
938,-73.92087167,40.81173167
939,-73.920845,40.811785
940,-73.92081833,40.81183833
941,-73.92079667,40.81188833
942,-73.92075833,40.81194
943,-73.92074667,40.81199333
944,-73.92067667,40.81204333
945,-73.92061833,40.81209167
946,-73.92056833,40.81213667
947,-73.92052833,40.81217333
948,-73.92050333,40.81220333
949,-73.92048833,40.81222167
1320,-73.98412667,40.785765
1321,-73.98417333,40.78580667
1322,-73.98422167,40.78584333
1323,-73.98427333,40.78586833
1324,-73.98432667,40.78588667
1325,-73.98438833,40.78589167
1326,-73.98445667,40.78588667
1327,-73.98452167,40.78587333
1328,-73.98458333,40.78584667
1329,-73.984635,40.785815
1330,-73.98470333,40.785615
1331,-73.98468833,40.78554667
1332,-73.98467,40.78539
1333,-73.98467333,40.78530333
1334,-73.98468667,40.78519833
1335,-73.9847,40.78509833
1367,-73.98682333,40.7817
1368,-73.98692833,40.78158167
1369,-73.98704,40.78146167
1370,-73.98715167,40.78134333
1371,-73.98726833,40.781225
1372,-73.98750167,40.78098333
1373,-73.98761667,40.78086333
1374,-73.98772667,40.78073667
1375,-73.98783833,40.780605
1395,-73.99324667,40.77329333
1396,-73.99334,40.77316667
1397,-73.99342833,40.77304333
1398,-73.99350667,40.77292333
1399,-73.99359,40.77280333
1400,-73.99366333,40.77268833
1401,-73.99373167,40.77257833
1402,-73.99387167,40.77239167
1403,-73.99393167,40.77231333
1404,-73.99397833,40.77224833
1405,-73.99404333,40.77215667
1406,-73.99406833,40.77212167
1407,-73.99408833,40.77209333
1408,-73.99410667,40.772065
1409,-73.99412333,40.77204
1410,-73.99414167,40.77201667
1411,-73.99416,40.77199667
1412,-73.99422333,40.77191167
1413,-73.99424333,40.77189167
1414,-73.99426833,40.77185833
1415,-73.99430833,40.77177333
1416,-73.99432667,40.77173167
1417,-73.99435,40.77168833
1418,-73.99436833,40.77164833
1419,-73.99438333,40.77161
1420,-73.9944,40.77157667
1421,-73.994415,40.771545
1422,-73.99443,40.77151833
1423,-73.99444333,40.77149333
1424,-73.99445667,40.77146833
1425,-73.99362,40.77117667
1745,-73.97715667,40.771555
1746,-73.977005,40.77146667
1747,-73.976875,40.77135833
1748,-73.97674833,40.77128167
1749,-73.97662,40.77120333
1750,-73.976495,40.77112667
1751,-73.97637167,40.77103833
1752,-73.97624333,40.77095167
1753,-73.97611667,40.77086
1754,-73.97599167,40.77077167
1755,-73.97586667,40.77068167
1756,-73.97573667,40.77059833
1757,-73.97560333,40.77052
1758,-73.97546833,40.77044333
1759,-73.97534,40.77035833
1760,-73.97521333,40.77027333
1761,-73.97509667,40.77017167
1762,-73.974975,40.77007667
1763,-73.97485667,40.76999167
1764,-73.974735,40.76991167
1765,-73.97461167,40.76983333
1766,-73.97435667,40.769675
1767,-73.97424,40.769595
1768,-73.97412833,40.76951167
1769,-73.97401333,40.76944833
1770,-73.973905,40.76938333
1771,-73.97378833,40.76932
1772,-73.97367167,40.76927333
1773,-73.97353833,40.76922667
1774,-73.973405,40.76919167
1775,-73.97315667,40.76910333
1776,-73.97290333,40.76901667
1777,-73.97277667,40.76897333
1778,-73.97263667,40.76893667
1779,-73.97249167,40.76890333
1780,-73.97236167,40.76886833
1781,-73.972235,40.76882333
1782,-73.97197167,40.76874
1783,-73.971835,40.76870333
2607,-73.92716667,40.82835833
2608,-73.92725833,40.82840167
2609,-73.92745333,40.82850833
2610,-73.92755667,40.82857
2611,-73.92766667,40.828635
4045,-73.92327167,40.81301667
4046,-73.92321,40.81305167
4047,-73.92300667,40.81315833
4048,-73.92293167,40.81320667
4049,-73.9229,40.81322333
4050,-73.92277667,40.813305
4051,-73.922605,40.81339833
4052,-73.92254333,40.81342833
4053,-73.92247,40.813465
4320,-73.89769167,40.83653833
4321,-73.89768833,40.83662
4322,-73.89767667,40.83671
4323,-73.89763833,40.83688833
4324,-73.89761667,40.836975
4325,-73.89759,40.837055
4326,-73.89756333,40.83713667
4327,-73.89753333,40.837215
4328,-73.89746667,40.837365
4329,-73.89742833,40.83743667
4330,-73.89738833,40.83750167
4331,-73.897355,40.837555
4332,-73.89733,40.837595
4333,-73.89731167,40.83762667
4334,-73.89728667,40.83767167
4335,-73.89727,40.83769
4336,-73.89725,40.837715
4337,-73.89723,40.83775
4338,-73.89720333,40.83778833
4339,-73.89715333,40.837845
4340,-73.897095,40.83791167
4341,-73.896975,40.83805167
4342,-73.89692167,40.83812667
4343,-73.896865,40.83820333
4344,-73.89680333,40.83828167
4345,-73.89667833,40.83844
4346,-73.89661,40.83851833
4347,-73.89654,40.83859833
4348,-73.89647333,40.83867833
4349,-73.89634167,40.83884667
4350,-73.89628333,40.83892667
4351,-73.89622833,40.839005
4352,-73.89617333,40.83908167
4353,-73.89612167,40.839155
4354,-73.89608167,40.83922667
4355,-73.89603833,40.839295
4356,-73.89599333,40.839365
4357,-73.89595167,40.839435
4358,-73.89591167,40.83950667
4359,-73.89582667,40.83964667
4360,-73.895785,40.83971333
4361,-73.89573833,40.83978167
4362,-73.89569,40.83985167
4363,-73.89559,40.83999667
4364,-73.89553833,40.84007
4365,-73.89549,40.84014333
4366,-73.89544833,40.84021833
4367,-73.89541667,40.84029333
4368,-73.89538333,40.84037167
4369,-73.89534167,40.84045
4370,-73.89529167,40.84053
4371,-73.89524167,40.84061
4372,-73.895145,40.840775
4373,-73.89510167,40.84085333
4374,-73.89506667,40.84093333
4375,-73.89502333,40.84101667
4518,-73.89464833,40.843925
4519,-73.89473333,40.843915
4520,-73.89478833,40.84391333
4521,-73.894855,40.84391667
4522,-73.89493667,40.84393167
4523,-73.89503,40.84394333
4524,-73.89536167,40.84397333
4525,-73.89548667,40.84398333
4526,-73.89561667,40.84398667
4608,-73.90131,40.84120167
4609,-73.90135833,40.84112
4610,-73.90140667,40.84103667
4611,-73.90145333,40.84095333
4612,-73.901545,40.84079167
4613,-73.901585,40.84072167
4677,-73.89886333,40.8365
4678,-73.898755,40.83646167
4679,-73.89863833,40.83643333
4680,-73.898395,40.83640167
4681,-73.898285,40.83638667
4682,-73.89817667,40.83637667
4683,-73.89808,40.83638
4684,-73.89789667,40.836385
4685,-73.89786667,40.83635833
4686,-73.897825,40.83621167
4687,-73.89781833,40.83614333
4688,-73.89781,40.83607
4689,-73.89780333,40.835995
4690,-73.89780167,40.83591333
4691,-73.89779833,40.835835
4692,-73.89779,40.83576167
4693,-73.89777,40.83568667
4694,-73.89774167,40.83561
4695,-73.89772,40.83553333
5668,-73.96768333,40.78474667
5669,-73.967575,40.78469
5670,-73.967465,40.78463167
5671,-73.96735167,40.784575
5672,-73.96724167,40.784515
5673,-73.96713167,40.78445333
5674,-73.96702833,40.784395
5675,-73.96691667,40.78432
5676,-73.966775,40.784245
5677,-73.96649667,40.78412667
5678,-73.96636333,40.78407833
5679,-73.966235,40.78403333
5680,-73.96611667,40.783995
5681,-73.96598333,40.78396167
5682,-73.96585833,40.78393
5683,-73.96561167,40.78386
5684,-73.96548333,40.78382333
5685,-73.96535,40.78378667
5686,-73.96521667,40.78374667
5687,-73.96494833,40.78367
5688,-73.96482,40.78363167
5689,-73.9647,40.78359333
5690,-73.96458167,40.78355667
5691,-73.96446667,40.78351167
5692,-73.964355,40.783465
5693,-73.96424333,40.783415
5694,-73.96413333,40.78336667
5695,-73.96403,40.78330833
5696,-73.96392667,40.78325167
5697,-73.96383167,40.78319
5698,-73.96376,40.78311167
5699,-73.96371,40.78302
5700,-73.96366167,40.78293333
5701,-73.96362333,40.78284
5702,-73.96356167,40.78263333
5703,-73.96353167,40.78252667
5704,-73.96350333,40.78242
5705,-73.96346833,40.782315
5706,-73.96343167,40.78220833
5707,-73.96338167,40.78211333
5708,-73.96314833,40.78182333
5709,-73.963055,40.78173333
5710,-73.96296,40.781645
5711,-73.96285333,40.78155833
5712,-73.96273667,40.78147167
5713,-73.96263,40.78139333
6614,-73.95691333,40.7893
6615,-73.95706167,40.78935667
6616,-73.95721167,40.78941167
6617,-73.95736333,40.78946667
6618,-73.95752,40.78952167
6619,-73.957785,40.78965667
6620,-73.95792333,40.78971167
6621,-73.95807,40.78977167
6622,-73.958215,40.789835
6623,-73.95852,40.78995333
6624,-73.95884167,40.79005333
6625,-73.95900667,40.790095
6626,-73.959175,40.79013667
6627,-73.95934167,40.79017167
6628,-73.959505,40.79020333
6629,-73.95982333,40.79027833
6630,-73.95997667,40.79032333
6631,-73.96012333,40.79037667
6632,-73.96026,40.790435
6633,-73.96039667,40.79050167
6634,-73.96053167,40.79057667
6635,-73.96066167,40.79066
6636,-73.96078667,40.790745
6637,-73.96091167,40.79082333
6638,-73.96103833,40.79090167
6639,-73.961165,40.790975
6640,-73.96129167,40.79104667
6641,-73.961415,40.79112
6642,-73.96154333,40.79118833
6643,-73.96167667,40.79125333
6644,-73.96181167,40.79131667
6645,-73.96209667,40.79145167
6646,-73.962385,40.79157167
6647,-73.962535,40.79162667
6648,-73.96267167,40.791675
6649,-73.96281833,40.79172333
6650,-73.96308167,40.79181667
6651,-73.96317833,40.79185
6750,-73.90799,40.80651167
6751,-73.907685,40.80660667
6752,-73.90754167,40.80664833
6753,-73.90737,40.80669167
6754,-73.90719333,40.80673
6755,-73.90702833,40.80677667
6756,-73.90687,40.80683333
6757,-73.906715,40.80688167
6758,-73.906285,40.807055
6759,-73.90615667,40.80712833
6760,-73.90603667,40.80720667
6761,-73.90591667,40.80727667
6762,-73.90579333,40.80734667
6763,-73.90567167,40.80741667
6764,-73.90554333,40.807485
6765,-73.90541667,40.807555
6766,-73.9053,40.80761833
6767,-73.90509833,40.80774333
6768,-73.90499833,40.80779667
6769,-73.90489833,40.807855
6770,-73.90480167,40.80790833
6771,-73.904705,40.80796333
6772,-73.90453333,40.80806167
6773,-73.90446,40.80808667
6774,-73.90434167,40.80813333
6775,-73.90431333,40.80816
